,ClientPeriod,MonthlySpending,TotalSpent,IsSeniorCitizen,Churn,Spending_Change_Ratio,Sex_Male,HasPartner_Yes,HasChild_Yes,HasPhoneService_Yes,HasMultiplePhoneNumbers_No phone service,HasMultiplePhoneNumbers_Yes,HasInternetService_Fiber optic,HasInternetService_No,HasOnlineSecurityService_No internet service,HasOnlineSecurityService_Yes,HasOnlineBackup_No internet service,HasOnlineBackup_Yes,HasDeviceProtection_No internet service,HasDeviceProtection_Yes,HasTechSupportAccess_No internet service,HasTechSupportAccess_Yes,HasOnlineTV_No internet service,HasOnlineTV_Yes,HasMovieSubscription_No internet service,HasMovieSubscription_Yes,HasContractPhone_One year,HasContractPhone_Two year,IsBillingPaperless_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
34,66,105.2,6936.85,0,0,0.015165384864888241,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
35,58,105.5,6205.5,1,1,0.01700104745790025,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,True,False,False
36,46,19.2,908.15,0,0,0.02114188184771238,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
37,45,112.2,5031.85,0,0,0.022297961982173552,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False
38,22,95.9,2234.95,0,0,0.0429092373431173,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
39,5,84.85,415.55,1,1,0.2041872217543015,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
40,4,20.85,62.9,0,0,0.33147853736089034,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
41,3,74.45,221.1,0,0,0.33672546359113525,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
42,62,86.1,5215.25,0,0,0.016509275681894444,True,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
43,62,19.2,1123.65,0,0,0.017087171272193297,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False
44,3,76.95,228.4,0,1,0.33690893169877406,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
45,66,49.4,3251.85,0,0,0.015191352614665497,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False
46,3,55.15,159.15,0,1,0.34652843229657554,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
47,6,19.7,111.65,0,0,0.17644424540976264,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
48,39,19.9,791.15,0,0,0.025153257915692347,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
49,52,19.2,1054.75,0,0,0.018203365726475466,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
50,3,29.75,96.85,0,0,0.307176045431079,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
51,1,74.45,74.45,1,1,1.0,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
52,68,102.1,7149.35,0,0,0.01428101855413429,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False
53,26,86.65,2208.75,0,0,0.039230333899264294,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
54,66,89.4,5976.9,0,0,0.014957586708828994,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
55,51,96.4,4911.05,0,0,0.019629203530813166,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False
56,30,94.3,2679.7,0,0,0.03519050639997015,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False
57,60,103.75,5969.95,0,0,0.017378705014279853,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False
58,40,20.15,804.85,0,0,0.025035720941790393,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
59,59,99.5,5961.1,0,1,0.016691550217241783,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False
60,48,83.45,3887.85,0,0,0.021464305464459793,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False
61,38,81.0,3084.9,0,0,0.02625692891179617,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
62,51,110.05,5686.4,0,0,0.019353193584693305,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False
63,1,48.45,48.45,0,0,1.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
64,10,89.8,914.3,1,1,0.09821721535601007,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
65,22,20.25,488.25,0,0,0.041474654377880185,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
66,3,19.75,58.85,0,1,0.33559898045879355,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
67,1,24.4,24.4,0,0,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
68,61,79.8,4914.8,0,0,0.016236672906323756,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False
69,43,100.0,4211.55,0,1,0.023744227184765702,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False
70,1,45.85,45.85,0,1,1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
71,12,20.05,265.45,0,0,0.07553211527594651,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
72,20,82.4,1592.35,0,1,0.05174741733915283,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
73,60,74.85,4456.35,1,0,0.016796257026490288,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False
74,35,20.1,655.3,0,0,0.03067297421028537,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
75,45,96.75,4442.75,0,0,0.021777052501266107,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
76,3,50.5,147.75,0,0,0.34179357021996615,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
77,1,85.7,85.7,1,1,1.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
78,16,55.85,857.8,0,0,0.0651084168803917,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
79,31,20.9,689.35,0,0,0.03031841589903532,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
80,48,103.25,5037.55,0,1,0.020496074480650314,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False
81,4,20.5,79.05,0,0,0.2593295382669197,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
82,31,84.75,2613.4,0,0,0.03242901966786561,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
83,60,105.9,6396.45,0,1,0.0165560584386652,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
84,67,50.55,3260.1,0,0,0.015505659335603201,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
85,8,65.45,554.45,0,0,0.1180449093696456,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
86,72,24.15,1776.45,0,0,0.013594528413408764,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False
87,11,50.55,565.35,0,0,0.08941363756964711,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
88,69,84.9,5785.65,1,0,0.0146742371211532,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
89,1,69.65,69.65,1,1,1.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
90,7,45.75,344.2,1,0,0.13291690877396864,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
91,7,20.25,174.7,0,0,0.1159129937034917,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False
92,35,85.95,3110.1,0,1,0.027635767338670784,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False
93,8,85.2,695.75,1,0,0.12245777937477542,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
94,70,79.25,5731.85,0,0,0.013826251559269694,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False
95,10,29.6,299.05,0,0,0.09898010366159506,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
96,67,106.6,7244.7,0,0,0.014714204867006225,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,False,False
97,52,85.35,4338.6,0,1,0.01967224450283501,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
98,72,108.3,7679.65,0,0,0.014102205178621421,False,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
99,29,95.9,2745.2,1,1,0.03493370246247997,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
100,37,20.15,785.75,0,0,0.025644288895959273,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
101,7,20.65,150.0,0,0,0.13766666666666666,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
102,46,55.0,2473.95,0,0,0.02223165383293923,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,1,19.3,19.3,0,1,1.0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
104,25,40.65,970.55,0,0,0.04188346813662357,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
105,33,19.45,600.25,0,0,0.03240316534777176,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
106,31,20.1,589.25,0,0,0.03411115825201528,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
107,71,104.05,7413.55,1,0,0.014035111383884913,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
108,14,54.25,773.2,0,0,0.07016295913088463,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
109,32,69.75,2347.9,0,1,0.02970739810043017,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
110,15,65.6,1010.0,0,0,0.06495049504950494,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False
111,1,25.7,25.7,1,1,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
112,2,91.4,193.6,0,1,0.472107438016529,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
113,47,67.45,3252.0,1,0,0.02074108241082411,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
114,7,23.5,173.0,0,0,0.13583815028901733,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
115,7,75.35,564.65,0,0,0.13344549721066146,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
116,1,75.35,75.35,0,0,1.0,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
117,2,60.95,134.6,0,0,0.4528231797919763,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,23,95.1,2326.05,1,0,0.040884761720513314,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
119,65,108.05,7118.9,0,0,0.015177906699068676,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False
120,52,24.55,1331.05,0,0,0.018444085496412608,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
121,3,41.35,107.25,0,0,0.38554778554778557,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
122,13,54.45,706.85,0,1,0.07703190210087006,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
123,52,61.35,3169.55,0,0,0.01935606000851856,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
124,67,94.1,6302.8,0,0,0.01492987243764676,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False
125,32,20.05,614.45,0,0,0.03263080803971031,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
126,7,19.45,136.75,0,0,0.14223034734917733,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
127,41,20.0,810.3,0,0,0.024682216463038382,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
128,53,25.1,1275.6,1,0,0.019677014738162437,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
129,13,61.8,750.1,0,0,0.08238901479802692,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
130,72,110.75,7751.7,0,0,0.014287188616690533,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False
131,26,93.85,2381.55,1,1,0.03940710881568726,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
132,15,48.85,736.8,0,0,0.06630021715526602,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
133,55,100.0,5509.3,1,1,0.01815112627738551,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False
134,5,93.9,486.85,0,1,0.19287254801273493,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
135,7,79.65,604.7,0,1,0.13171820737555812,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
136,38,69.0,2669.45,0,0,0.025848021127947707,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False
137,5,19.95,107.05,0,0,0.18636151331153666,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
138,9,55.35,449.75,0,1,0.12306837131739856,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
139,65,110.35,7246.15,1,0,0.01522877666070948,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False
140,64,102.1,6538.45,1,0,0.015615321674097071,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False
141,51,19.85,996.95,0,0,0.01991072771954461,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
142,15,19.65,332.65,0,0,0.059071095746279875,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
143,9,99.45,919.4,1,1,0.10816837067652818,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False
144,64,81.25,5567.55,0,0,0.01459349264937001,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False
145,2,56.7,113.55,0,1,0.4993394980184941,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
146,21,20.75,452.2,0,0,0.04588677576293675,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
147,47,95.05,4504.55,1,1,0.0211008868810425,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
148,1,19.2,19.2,0,0,1.0,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
149,8,19.5,159.35,0,0,0.12237213680577345,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
150,16,20.6,330.25,0,0,0.062376987130961396,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
151,2,61.2,125.95,0,0,0.48590710599444226,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
152,42,20.7,828.85,0,0,0.024974362067925436,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
153,52,80.85,4079.55,1,0,0.019818362319373457,True,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False
154,34,20.35,673.2,0,0,0.03022875816993464,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
155,27,56.15,1439.35,0,0,0.03901066453607532,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
156,4,23.9,97.5,0,0,0.2451282051282051,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
157,50,90.1,4549.45,0,0,0.019804591763839585,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,True,False,False
158,40,67.45,2731.0,0,0,0.024697912852435007,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
159,21,20.85,435.25,0,0,0.04790350373348651,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False
160,12,29.2,309.1,0,1,0.09446780977030086,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
161,25,105.95,2655.25,1,1,0.039902080783353736,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
162,20,50.0,1003.05,0,0,0.04984796371068242,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
163,52,84.1,4348.65,0,1,0.019339335195980363,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
164,16,19.35,275.9,0,0,0.07013410656034796,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
165,17,19.9,329.75,0,0,0.060348749052312356,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
166,23,90.6,1943.2,0,1,0.046624125154384514,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
167,71,19.7,1301.1,0,0,0.015141034509261395,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
168,46,45.55,2062.15,0,0,0.02208859685279926,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
169,20,69.8,1540.35,0,0,0.04531437660272016,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
